,Close,Open,High,Low,Volume
2009-04-12,0.00032399999999999996,0.00032399999999999996,0.00032399999999999996,0.00032399999999999996,0
2009-04-13,0.00032727272727272726,0.00032727272727272726,0.00032727272727272726,0.00032727272727272726,0
2009-04-14,0.0003305454545454545,0.0003305454545454545,0.0003305454545454545,0.0003305454545454545,0
2009-04-15,0.0003338181818181818,0.0003338181818181818,0.0003338181818181818,0.0003338181818181818,0
2009-04-16,0.00033709090909090906,0.00033709090909090906,0.00033709090909090906,0.00033709090909090906,0
2009-04-17,0.00034036363636363637,0.00034036363636363637,0.00034036363636363637,0.00034036363636363637,0
2009-04-18,0.0003436363636363636,0.0003436363636363636,0.0003436363636363636,0.0003436363636363636,0
2009-04-19,0.00034690909090909086,0.00034690909090909086,0.00034690909090909086,0.00034690909090909086,0
2009-04-20,0.00035018181818181817,0.00035018181818181817,0.00035018181818181817,0.00035018181818181817,0
2009-04-21,0.0003534545454545454,0.0003534545454545454,0.0003534545454545454,0.0003534545454545454,0
2009-04-22,0.0003567272727272727,0.0003567272727272727,0.0003567272727272727,0.0003567272727272727,0
2009-04-23,0.00035999999999999997,0.00035999999999999997,0.00035999999999999997,0.00035999999999999997,0
2009-04-24,0.00036327272727272727,0.00036327272727272727,0.00036327272727272727,0.00036327272727272727,0
2009-04-25,0.0003665454545454545,0.0003665454545454545,0.0003665454545454545,0.0003665454545454545,0
2009-04-26,0.00036981818181818177,0.00036981818181818177,0.00036981818181818177,0.00036981818181818177,0
2009-04-27,0.00037309090909090907,0.00037309090909090907,0.00037309090909090907,0.00037309090909090907,0
2009-04-28,0.0003763636363636363,0.0003763636363636363,0.0003763636363636363,0.0003763636363636363,0
2009-04-29,0.0003796363636363636,0.0003796363636363636,0.0003796363636363636,0.0003796363636363636,0
2009-04-30,0.00038290909090909087,0.00038290909090909087,0.00038290909090909087,0.00038290909090909087,0
2009-05-01,0.0003861818181818182,0.0003861818181818182,0.0003861818181818182,0.0003861818181818182,0
2009-05-02,0.0003894545454545454,0.0003894545454545454,0.0003894545454545454,0.0003894545454545454,0
2009-05-03,0.0003927272727272727,0.0003927272727272727,0.0003927272727272727,0.0003927272727272727,0
2009-05-04,0.000396,0.000396,0.000396,0.000396,0
2009-05-05,0.0003992727272727272,0.0003992727272727272,0.0003992727272727272,0.0003992727272727272,0
2009-05-06,0.00040254545454545453,0.00040254545454545453,0.00040254545454545453,0.00040254545454545453,0
2009-05-07,0.0004058181818181818,0.0004058181818181818,0.0004058181818181818,0.0004058181818181818,0
2009-05-08,0.0004090909090909091,0.0004090909090909091,0.0004090909090909091,0.0004090909090909091,0
2009-05-09,0.00041236363636363633,0.00041236363636363633,0.00041236363636363633,0.00041236363636363633,0
2009-05-10,0.00041563636363636363,0.00041563636363636363,0.00041563636363636363,0.00041563636363636363,0
2009-05-11,0.0004189090909090909,0.0004189090909090909,0.0004189090909090909,0.0004189090909090909,0
2009-05-12,0.00042218181818181813,0.00042218181818181813,0.00042218181818181813,0.00042218181818181813,0
2009-05-13,0.00042545454545454543,0.00042545454545454543,0.00042545454545454543,0.00042545454545454543,0
2009-05-14,0.0004287272727272727,0.0004287272727272727,0.0004287272727272727,0.0004287272727272727,0
2009-05-15,0.000432,0.000432,0.000432,0.000432,0
2009-05-16,0.00043527272727272723,0.00043527272727272723,0.00043527272727272723,0.00043527272727272723,0
2009-05-17,0.00043854545454545454,0.00043854545454545454,0.00043854545454545454,0.00043854545454545454,0
2009-05-18,0.0004418181818181818,0.0004418181818181818,0.0004418181818181818,0.0004418181818181818,0
2009-05-19,0.0004450909090909091,0.0004450909090909091,0.0004450909090909091,0.0004450909090909091,0
2009-05-20,0.00044836363636363634,0.00044836363636363634,0.00044836363636363634,0.00044836363636363634,0
2009-05-21,0.0004516363636363636,0.0004516363636363636,0.0004516363636363636,0.0004516363636363636,0
2009-05-22,0.0004549090909090909,0.0004549090909090909,0.0004549090909090909,0.0004549090909090909,0
2009-05-23,0.00045818181818181814,0.00045818181818181814,0.00045818181818181814,0.00045818181818181814,0
2009-05-24,0.00046145454545454544,0.00046145454545454544,0.00046145454545454544,0.00046145454545454544,0
2009-05-25,0.0004647272727272727,0.0004647272727272727,0.0004647272727272727,0.0004647272727272727,0
2009-05-26,0.000468,0.000468,0.000468,0.000468,0
2009-05-27,0.00047127272727272724,0.00047127272727272724,0.00047127272727272724,0.00047127272727272724,0
2009-05-28,0.0004745454545454545,0.0004745454545454545,0.0004745454545454545,0.0004745454545454545,0
2009-05-29,0.0004778181818181818,0.0004778181818181818,0.0004778181818181818,0.0004778181818181818,0
2009-05-30,0.00048109090909090904,0.00048109090909090904,0.00048109090909090904,0.00048109090909090904,0
2009-05-31,0.00048436363636363634,0.00048436363636363634,0.00048436363636363634,0.00048436363636363634,0
2009-06-01,0.0004876363636363636,0.0004876363636363636,0.0004876363636363636,0.0004876363636363636,0
2009-06-02,0.0004909090909090909,0.0004909090909090909,0.0004909090909090909,0.0004909090909090909,0
2009-06-03,0.0004941818181818182,0.0004941818181818182,0.0004941818181818182,0.0004941818181818182,0
2009-06-04,0.0004974545454545454,0.0004974545454545454,0.0004974545454545454,0.0004974545454545454,0
2009-06-05,0.0005007272727272727,0.0005007272727272727,0.0005007272727272727,0.0005007272727272727,0
2009-06-06,0.000504,0.000504,0.000504,0.000504,0
2009-06-07,0.0005072727272727272,0.0005072727272727272,0.0005072727272727272,0.0005072727272727272,0
2009-06-08,0.0005105454545454545,0.0005105454545454545,0.0005105454545454545,0.0005105454545454545,0
2009-06-09,0.0005138181818181818,0.0005138181818181818,0.0005138181818181818,0.0005138181818181818,0
2009-06-10,0.0005170909090909091,0.0005170909090909091,0.0005170909090909091,0.0005170909090909091,0
2009-06-11,0.0005203636363636363,0.0005203636363636363,0.0005203636363636363,0.0005203636363636363,0
2009-06-12,0.0005236363636363636,0.0005236363636363636,0.0005236363636363636,0.0005236363636363636,0
2009-06-13,0.0005269090909090909,0.0005269090909090909,0.0005269090909090909,0.0005269090909090909,0
2009-06-14,0.0005301818181818181,0.0005301818181818181,0.0005301818181818181,0.0005301818181818181,0
2009-06-15,0.0005334545454545454,0.0005334545454545454,0.0005334545454545454,0.0005334545454545454,0
2009-06-16,0.0005367272727272727,0.0005367272727272727,0.0005367272727272727,0.0005367272727272727,0
